Symbol,Company Name,Security Price,Required IV (%),Strike Price,Put Price,Contracts,Covered Amount,Monthly Income,Annualized Return (%),Delta
NVDA,NVIDIA Corporation,164.28259,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MSFT,Microsoft Corp,503.1494,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AAPL,Apple Inc,208.71,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMZN,Amazon.com Inc,225.2917,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
META,Meta Platforms Inc,720.2499,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AVGO,Broadcom Inc,275.4,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GOOGL,Alphabet Inc,181.68,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TSM,Taiwan Semiconductor Manufacturing Co Ltd,228.925,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TSLA,Tesla Inc,316.47,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GOOG,Alphabet Inc,182.85,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
JPM,JPMorgan Chase & Co,288.5,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WMT,Walmart Inc,95.69,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LLY,Eli Lilly and Co,798.314,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
V,Visa Inc,350.9822,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ORCL,Oracle Corp,229.3355,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BRK/B,Berkshire Hathaway Inc,476.825,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NFLX,Netflix Inc,1262.46,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MA,Mastercard Inc,553.6217,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
XOM,Exxon Mobil Corp,113.8,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
COST,Costco Wholesale Corp,979.15,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BRK/A,Berkshire Hathaway Inc,715602.7813,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
JNJ,Johnson & Johnson,156.655,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PG,Procter & Gamble Co (The),153.9783,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HD,Home Depot Inc. (The),369.775,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BAC,Bank of America Corp,46.9817,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SAP,SAP SE,301.02,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ABBV,AbbVie Inc,191.705,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PLTR,Palantir Technologies Inc,149.39,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ASML,ASML Holding NV,805.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KO,Coca-Cola Co (The),69.385,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PM,Philip Morris International Inc,180.5,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
UNH,UnitedHealth Group Incorporated,299.92,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GE,GE Aerospace,261.81,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CVX,Chevron Corp,151.43,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CSCO,Cisco Systems Inc,67.645,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WFC,Wells Fargo & Co,83.3883,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IBM,International Business Machines Corp,283.725,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TMUS,T-Mobile US Inc,228.205,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BABA,Alibaba Group Holding Ltd,108.215,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CRM,SALESFORCE INC,259.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMD,Advanced Micro Devices Inc,146.3101,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NVS,Novartis AG,121.0347,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NVO,Novo Nordisk A/S,68.805,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ABT,Abbott Laboratories,132.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MS,Morgan Stanley,143.64,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AXP,American Express Co,320.57,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TM,Toyota Motor Corp,171.8414,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LIN,Linde Plc,468.41,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AZN,Astrazeneca PLC,71.825,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GS,Goldman Sachs Group Inc (The),711.7,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DIS,Walt Disney Co (The),120.0635,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HSBC,HSBC Holdings PLC,62.48,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MCD,McDonald's Corp,301.82,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SHEL,Shell Plc,71.2383,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MRK,Merck & Co Inc,83.7,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
INTU,Intuit Inc.,753.3497,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TXN,Texas Instruments Inc,219.7047,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
UBER,Uber Technologies Inc,93.675,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BX,Blackstone Inc,163.21,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RTX,RTX Corp,149.43,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NOW,ServiceNow Inc,959.18,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HDB,HDFC Bank Limited,75.22,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
T,AT&T Inc,27.125,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CAT,Caterpillar Inc,406.24,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BKNG,Booking Holdings Inc,5740.15,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RY,Royal Bank of Canada,131.76,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PEP,PepsiCo Inc,135.47,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ISRG,Intuitive Surgical Inc,517.475,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BLK,BlackRock Inc,1107.775,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VZ,Verizon Communications Inc,41.625,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ACN,Accenture PLC,279.195,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BA,Boeing Co,230.94,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
QCOM,QUALCOMM Inc.,154.2229,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SCHW,Schwab (Charles) Corp,92.59,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TMO,Thermo Fisher Scientific Inc,425.385,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
C,Citigroup Inc,87.2983,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SPGI,S&P Global Inc,530.09,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMAT,Applied Materials Inc,196.725,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMGN,Amgen Inc,296.12,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MUFG,Mitsubishi UFJ Financial Group Inc,13.6383,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ARM,Arm Holdings plc,144.5,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ADBE,Adobe Inc,366.82,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NEE,NextEra Energy Inc,75.07,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BSX,Boston Scientific Corp,104.38,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HON,Honeywell International Inc,238.59,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
UL,Unilever PLC,61.005,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PDD,PDD Holdings Inc,102.33,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SYK,Stryker Corp,391.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GEV,GE Vernova Inc,554.2401,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DHR,Danaher Corp,197.86,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SONY,Sony Group Corporation,24.3833,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PFE,Pfizer Inc,25.355,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SHOP,Shopify Inc,116.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SPOT,Spotify Technology SA,715.17,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PGR,Progressive Corp (The),246.58,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ETN,Eaton Corporation plc,359.57,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
COF,Capital One Financial Corp,220.48,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
UNP,Union Pacific Corp,233.45,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TTE,TotalEnergies SE,62.31,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MU,Micron Technology Inc.,118.73,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DE,DEERE & COMPANY,507.08,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TJX,TJX Companies Inc (The),123.4447,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GILD,Gilead Sciences Inc,111.9665,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ANET,Arista Networks Inc,108.285,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BHP,BHP Group Ltd,51.8883,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CMCSA,Comcast Corp,35.595,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LRCX,Lam Research Corp,99.5883,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SAN,Banco Santander SA,8.4983,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TD,Toronto-Dominion Bank (The),73.945,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KKR,KKR & Co Inc,139.47,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LOW,Lowe's Cos Inc,222.42,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PANW,Palo Alto Networks Inc,190.638,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ADP,Automatic Data Processing Inc,303.145,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SNY,Sanofi,48.5183,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KLAC,KLA Corp,919.83,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MSTR,MicroStrategy Inc,450.73,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ADI,Analog Devices Inc,243.335,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BUD,Anheuser-Busch InBev SA/NV,67.675,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MELI,MercadoLibre Inc,2382.085,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
COP,Conocophillips,93.92,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VRTX,Vertex Pharmaceuticals Inc,471.895,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
APH,Amphenol Corp,100.3383,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
UBS,UBS Group AG,35.6389,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CRWD,CrowdStrike Holdings Inc,474.95,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IBN,ICICI Bank Ltd,33.1883,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MDT,Medtronic PLC,89.71,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
APP,AppLovin Corporation,355.4697,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BTI,British American Tobacco PLC,51.3325,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CB,Chubb Ltd,279.72,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LMT,Lockheed Martin Corp,474.065,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SBUX,Starbucks Corp,93.41,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NKE,NIKE Inc,72.2983,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MMC,Marsh & McLennan Companies Inc,213.66,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BN,Brookfield Corp,63.78,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ICE,Intercontinental Exchange Inc,181.62,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMT,American Tower Corp,221.71,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
INTC,Intel Corp,23.2583,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DASH,DoorDash Inc,241.9556,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SO,Southern Co (The),92.71,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WELL,Welltower Inc,157.9458,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PLD,Prologis Inc,109.13,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CEG,Constellation Energy Corp,325.125,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CME,CME Group Inc,276.9544,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IBKR,Interactive Brokers Group Inc,59.4,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
COIN,COINBASE GLOBAL INC,392.91,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RELX,RELX PLC,53.915,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TT,Trane Technologies plc,439.26,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MO,Altria Group Inc,58.0017,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ENB,Enbridge Inc,45.115,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SMFG,Sumitomo Mitsui Financial Group Inc,14.845,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BMY,Bristol-Myers Squibb Co,47.4017,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RCL,Royal Caribbean Group,341.45,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BAM,Brookfield Asset Management Ltd,56.87,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FI,Fiserv Inc.,167.76,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PH,Parker-Hannifin Corp,711.58,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DUK,Duke Energy Corp,117.82,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WM,Waste Management Inc.,229.2,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HCA,HCA Healthcare Inc,379.91,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MCO,Moody's Corp.,503.3,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TRI,Thomson Reuters Corp,214.14,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MCK,McKesson Corp,715.29,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SE,Sea Limited,151.01,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CDNS,Cadence Design Systems Inc,317.35,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RACE,Ferrari NV,487.59,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CTAS,Cintas Corp,216.61,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MDLZ,Mondelez International Inc,67.525,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HOOD,Robinhood Markets Inc,99.6833,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SNPS,Synopsys Inc,548.88,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SHW,Sherwin-Williams Co (The),344.555,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TDG,TransDigm Group Inc,1573.35,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BBVA,Banco Bilbao Vizcaya Argentaria SA,15.1183,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BP,BP plc,32.0183,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DELL,Dell Technologies Inc,125.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
UPS,United Parcel Service Inc,100.1,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
APO,Apollo Global Management Inc,148.415,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MMM,3M Co,157.835,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ABNB,Airbnb Inc,138.35,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CVS,CVS Health Corp,64.4535,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BMO,Bank of Montreal,113.61,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SCCO,Southern Copper Corporation,100.105,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NTES,NetEase Inc,129.795,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GD,General Dynamics Corp,305.1,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CI,The Cigna Group,302.9,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AJG,Arthur J. Gallagher & Co.,315.4,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EMR,Emerson Electric Co.,139.795,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ORLY,O'Reilly Automotive Inc,93.12,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GSK,GSK plc,38.41,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PNC,The PNC Financial Services Group Inc,197.02,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MAR,Marriott International Inc,282.945,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ELV,Elevance Health Inc,338.91,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AON,Aon plc,358.68,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RIO,Rio Tinto Group,59.745,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ITW,Illinois Tool Works Inc.,257.7,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CP,Canadian Pacific Kansas City Ltd,81.29,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FTNT,Fortinet Inc,102.52,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ECL,Ecolab Inc.,268.075,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CMG,Chipotle Mexican Grill Inc,54.72,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
INFY,Infosys Ltd,17.975,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RSG,Republic Services Inc.,243.95,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NOC,Northrop Grumman Corp,521.295,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EQIX,Equinix Inc,759.05,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CVNA,Carvana Co,346.865,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
USB,U.S. Bancorp,47.01,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EQNR,Equinor ASA,26.38,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CL,Colgate-Palmolive Co,88.99,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HWM,Howmet Aerospace Inc,184.57,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RBLX,Roblox Corp,111.66,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WMB,Williams Cos Inc. (The),58.9683,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SNOW,Snowflake Inc,213.05,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
JCI,Johnson Controls International Plc,106.155,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MSI,Motorola Solutions Inc,413.545,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PYPL,PayPal Holdings Inc,73.8783,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ING,ING Groep NV,22.59,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EPD,Enterprise Products Partners LP,31.73,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ZTS,Zoetis Inc,156.02,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NGG,National Grid plc,71.07,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MFG,Mizuho Financial Group Inc,5.4917,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CM,Canadian Imperial Bank of Commerce,72.335,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BNS,The Bank of Nova Scotia,54.52,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EOG,EOG Resources Inc.,122.495,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CNQ,Canadian Natural Resources Ltd,31.775,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BK,Bank of New York Mellon Corp (The),94.9983,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NEM,Newmont Corporation,60.7883,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VST,Vistra Corp,194.2832,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FCX,Freeport-McMoRan Inc,45.555,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CNI,Canadian National Railway Co,104.05,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HLT,Hilton Worldwide Holdings Inc,278.84,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CARR,Carrier Global Corp,76.565,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BCS,Barclays PLC,18.6017,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
APD,Air Products and Chemicals Inc.,290.97,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CRH,CRH PLC,94.8529,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CSX,CSX Corp,34.095,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NET,Cloudflare Inc,182.2409,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MRVL,Marvell Technology Inc,72.395,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AZO,AutoZone Inc,3771.345,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KMI,Kinder Morgan Inc.,28.275,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NU,Nu Holdings Ltd,13.08,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LYG,Lloyds Banking Group PLC,4.13,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CRWV,CoreWeave Inc,132.6714,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
REGN,Regeneron Pharmaceuticals Inc,571.31,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AEM,Agnico Eagle Mines Ltd,119.57,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NSC,Norfolk Southern Corp,262.605,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ADSK,Autodesk Inc,294.9,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ET,Energy Transfer LP,17.505,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WDAY,Workday Inc,225.03,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TFC,Truist Financial Corp,45.555,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ROP,Roper Technologies Inc,546.51,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ARES,Ares Management Corp,180.805,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NXPI,NXP Semiconductors NV,223.88,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
