Symbol,Company Name,Security Price,Required IV (%),Strike Price,Put Price,Contracts,Covered Amount,Monthly Income,Annualized Return (%),Delta
TRV,Travelers Companies Inc (The),254.88,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DEO,Diageo PLC,101.73,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MNST,Monster Beverage Corp,59.585,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
COR,Cencora Inc,296.645,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PWR,Quanta Services Inc.,387.475,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AXON,Axon Enterprise Inc,750.835,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DLR,Digital Realty Trust Inc,170.82,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FDX,FedEx Corp.,234.215,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AEP,American Electric Power Co Inc,105.0383,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MPC,Marathon Petroleum Corp,175.3801,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AFL,Aflac Incorporated,102.54,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CPNG,Coupang Inc,30.695,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CHTR,Charter Communications Inc,399.355,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NWG,NatWest Group plc,13.365,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PSX,Phillips 66,128.69,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMX,America Movil SAB de CV,17.385,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
URI,United Rentals Inc.,808.4,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SPG,Simon Property Group Inc,162.1087,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TEL,TE Connectivity plc,176.065,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LNG,Cheniere Energy Inc,241.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MET,MetLife Inc,77.72,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MFC,Manulife Financial Corp,30.475,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MPLX,MPLX LP,50.9029,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PAYX,Paychex Inc.,144.07,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
O,Realty Income Corp,58.9049,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NDAQ,Nasdaq Inc,89.63,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GM,General Motors Co,53.295,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ALL,The Allstate Corporation,195.84,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FLUT,Flutter Entertainment PLC,295.38,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMP,Ameriprise Financial Inc,539.04,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PCAR,PACCAR Inc,95.89,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
E,Eni SpA,33.14,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GWW,Grainger (W.W.) Inc,1056.58,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
OKE,ONEOK Inc,81.41,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SLB,Schlumberger Ltd,36.145,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PSA,Public Storage,288.16,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BDX,Becton Dickinson and Co,176.6429,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CTVA,Corteva Inc,73.155,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FAST,Fastenal Co,45.1299,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TRP,TC Energy Corp,48.32,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TEAM,Atlassian Corp,191.49,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SU,Suncor Energy Inc.,39.8295,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
D,Dominion Energy Inc,57.14,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SRE,Sempra,74.565,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LHX,L3Harris Technologies Inc,262.58,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VLO,Valero Energy Corp,148.88,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PBR,Petroleo Brasileiro S.A.- Petrobras,12.57,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DDOG,Datadog Inc,138.58,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HES,Hess Corp,149.12,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WCN,Waste Connections Inc.,184.395,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TGT,Target Corp,104.6429,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AIG,American International Group Inc,81.5547,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VRT,Vertiv Holdings Co,124.5494,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
F,Ford Motor Co,11.85,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KR,Kroger Co. (The),72.3617,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CMI,Cummins Inc.,340.04,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TAK,Takeda Pharmaceutical Co Ltd,15.0583,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CPRT,Copart Inc,47.095,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EW,Edwards Lifesciences Corp,78.13,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
OXY,Occidental Petroleum Corp,45.045,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KDP,Keurig Dr Pepper Inc,33.145,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ZS,Zscaler Inc,290.48,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VEEV,Veeva Systems Inc,281.83,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
JD,JD.com Inc,30.76,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CCI,Crown Castle Inc,103.0929,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HLN,Haleon plc,9.915,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GLW,Corning Inc,53.065,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EXC,Exelon Corp,43.395,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MSCI,MSCI Inc,571.32,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CCEP,Coca-Cola Europacific Partners PLC,95.35,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FERG,Ferguson Enterprises Inc,219.705,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VALE,Vale SA,9.915,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ALC,Alcon Inc,87.37,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VG,Venture Global Inc,16.805,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KMB,Kimberly-Clark Corporation,127.24,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ROST,Ross Stores Inc,130.9406,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IDXX,IDEXX Laboratories Inc,530.8687,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TTWO,Take-Two Interactive Software Inc,238.775,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FANG,Diamondback Energy Inc,141.57,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VRSK,Verisk Analytics Inc,305.54,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DHI,D.R. Horton Inc,136.01,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IMO,Imperial Oil Ltd,82.94,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CBRE,CBRE Group Inc,141.15,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HMC,Honda Motor Co Ltd,31.0583,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AME,AMETEK Inc,178.21,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CRCL,Circle Internet Group Inc,200.98,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
YUM,YUM Brands Inc,147.47,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GRMN,Garmin Ltd,216.79,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FIS,Fidelity National Information Services Inc,79.33,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WPM,Wheaton Precious Metals Corp,91.395,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PEG,Public Service Enterprise Group Inc,82.915,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ALNY,Alnylam Pharmaceuticals Inc,315.86,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KVUE,Kenvue Inc,21.855,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TCOM,Trip com Group Ltd,61.595,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BKR,Baker Hughes a GE Co,39.85,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MCHP,Microchip Technology Inc,73.9417,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
XYZ,Block Inc,68.53,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
XEL,Xcel Energy Inc.,69.095,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
OTIS,Otis Worldwide Corp,100.11,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ROK,Rockwell Automation Inc.,343.48,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FER,FERROVIAL SE,52.41,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CAH,Cardinal Health Inc,161.345,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FICO,Fair Isaac Corporation,1547.47,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PRU,Prudential Financial Inc,105.4029,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EA,Electronic Arts Inc,149.185,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RMD,Resmed Inc,254.32,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TRGP,Targa Resources Corp,172.64,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SYY,Sysco Corporation,77.61,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CTSH,Cognizant Technology Solutions Corp,75.27,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TTD,Trade Desk Inc (The),75.36,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DAL,Delta Air Lines Inc,58.16,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ABEV,Ambev SA,2.335,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
B,Barrick Mining Corporation,21.245,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WAB,Westinghouse Air Brake Technologies Corp,212.79,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ETR,Entergy corporation,82.61,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ED,Consolidated Edison Inc.,100.96,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CSGP,CoStar Group Inc,85.51,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IR,Ingersoll Rand Inc,87.63,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EBAY,eBay Inc.,77.63,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VMC,Vulcan Materials Co,269.365,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ODFL,Old Dominion Freight Line Inc,165.51,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VICI,VICI Properties Inc,33.5917,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MPWR,Monolithic Power Systems Inc,716.675,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BRO,Brown & Brown Inc,107.84,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LVS,Las Vegas Sands Corp,50.22,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
A,Agilent Technologies Inc,120.01,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SLF,Sun Life Financial Inc,62.75,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CHT,Chunghwa Telecom Co Ltd,44.52,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EQT,EQT Corp,58.1283,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GEHC,GE HealthCare Technologies Inc,74.23,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HIG,Hartford Insurance Group Inc (The),122.81,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ARGX,argenx SE,563.36,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TKO,TKO Group Holdings Inc,174.765,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MLM,Martin Marietta Materials Inc,563.62,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WEC,WEC Energy Group Inc,105.71,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ITUB,Itau Unibanco Holding SA,6.245,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CCL,Carnival Corporation & Plc,29.285,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HSY,Hershey Co (The),165.07,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LYV,Live Nation Entertainment Inc,148.295,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ANSS,ANSYS Inc,385.38,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ACGL,Arch Capital Group Ltd,90.43,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NUE,Nucor Corp,141.855,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EL,Estee Lauder Cos Inc (The),89.7065,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DXCM,DexCom Inc,85.035,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MTB,M&T Bank Corp,202.8,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EFX,Equifax Inc.,260.59,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KHC,The Kraft Heinz Co,27.685,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PBR/A,Petroleo Brasileiro S.A.- Petrobras,11.515,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RJF,Raymond James Financial Inc.,159.01,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PUK,Prudential PLC,25.0783,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EXR,Extra Space Storage Inc,150.5,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
XYL,Xylem Inc,130.96,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CCJ,Cameco Corp,74.905,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
STT,State Street Corporation,109.7,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DD,DuPont  De Nemours Inc,74.79,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
STX,Seagate Technology Holdings plc,148.97,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KB,KB Financial Group Inc,85.7994,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FNV,Franco-Nevada Corp,158.21,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TME,Tencent Music Entertainment Group,20.74,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RYAAY,Ryanair Holdings PLC,57.48,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WTW,Willis Towers Watson plc,309.25,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WIT,Wipro Ltd,2.875,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
STZ,Constellation Brands Inc,164.38,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WDS,Woodside Energy Group Ltd,15.69,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TSCO,Tractor Supply Co,57.92,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BIDU,Baidu Inc,85.89,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NTR,Nutrien Ltd,60.85,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LPLA,LPL Financial Holdings Inc,370.455,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LI,Li Auto Inc,28.63,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TEF,Telefonica SA,5.2109,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PCG,PG&E Corp,13.3983,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NRG,NRG Energy Inc,151.14,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SMCI,Super Micro Computer Inc,49.52,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
OWL,Blue Owl Capital Inc,19.175,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VTR,Ventas Inc.,65.53,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FITB,Fifth Third Bancorp,43.6017,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TW,Tradeweb Markets Inc,136.45,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WBD,WARNER BROS DISCOVERY INC,12.025,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
STLA,Stellantis NV,9.885,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IRM,Iron Mountain Inc,97.935,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
STM,STMicroelectronics NV,31.775,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IT,Gartner Inc,372.34,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RKT,Rocket Cos Inc,13.9899,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AVB,AvalonBay Communities Inc.,202.07,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
UAL,United Airlines Holdings Inc,88.57,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LULU,Lululemon Athletica Inc,228.91,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
KEYS,Keysight Technologies Inc,163.465,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IQV,IQVIA Holdings Inc,159.93,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FCNCA,First Citizens BancShares Inc,2152.6,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GIS,General Mills Inc.,50.86,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AMRZ,Amrize Ltd,50.485,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HUM,Humana Inc.,227.47,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DTE,DTE Energy Co,134.31,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AWK,American Water Works Company Inc,143.305,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SYM,Symbotic Inc,47.42,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IP,International Paper Company,52.035,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HUBS,HubSpot Inc,538.805,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BR,Broadridge Financial Solutions Inc,236.025,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
K,Kellanova,79.6503,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ONC,BeOne Medicines Ltd,251.915,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HPE,Hewlett Packard Enterprise Co,20.5983,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
BNTX,BioNTech SE,110.855,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SYF,Synchrony Financial,70.805,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
RDDT,Reddit Inc,146.795,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NOK,Nokia OYJ,4.885,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ROL,Rollins Inc,55.7029,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PPG,PPG Industries Inc.,116.215,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CVE,Cenovus Energy Inc,14.4,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MT,Arcelormittal,33.89,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VRSN,VeriSign Inc,282.72,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VOD,Vodafone Group Public Limited Company,10.895,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ADM,Archer-Daniels-Midland Co,54.26,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CQP,Cheniere Energy Partners LP,55.055,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
WRB,Berkley (W.R.) Corp,69.3653,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AEE,Ameren Corporation,96.45,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
LEN,Lennar Corp,112.84,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DOV,Dover Corp,188.7432,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
IX,Orix Corp,22.6965,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MTD,Mettler-Toledo International Inc,1194.71,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EQR,Equity Residential,66.87,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HBAN,Huntington Bancshares Inc,17.035,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PPL,PPL Corp,34.725,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VLTO,Veralto Corp,102.12,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TU,TELUS Corp,16.38,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EXE,Expand Energy Corporation,109.26,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TOST,Toast Inc,44.42,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
MKL,Markel Group Inc,2009.23,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
VIK,Viking Holdings Ltd,57.445,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ON,ON Semiconductor Corp,59.1,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DG,Dollar General Corporation,114.3587,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TDY,Teledyne Technologies Inc.,536.04,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
EME,EMCOR Group Inc.,557.66,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ERIC,Telefonaktiebolaget LM Ericsson (publ),7.835,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SW,Smurfit Westrock Plc,46.41,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SBAC,SBA Communications Corp,232.55,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
DRI,Darden Restaurants Inc,209.36,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
NTRS,Northern Trust Corp,126.52,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
UI,Ubiquiti Inc,411.99,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ATO,Atmos Energy Corp,155.67,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
SHG,Shinhan Financial Group Co Ltd,51.24,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CHD,Church & Dwight Co Inc,97.001,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
ES,Eversource Energy,65.275,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TPL,Texas Pacific Land Corp,1039.28,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
PINS,Pinterest Inc,35.925,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
GDDY,GoDaddy Inc,169.705,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
HPQ,HP Inc,24.7583,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
JBL,Jabil Inc,220.58,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
TYL,Tyler Technologies Inc,561.805,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
FTS,Fortis Inc,47.17,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
AU,AngloGold Ashanti plc,47.85,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
CNP,CenterPoint Energy Inc.,36.2,76.15,37.01,1.23,8,29608.88,986.96,40.0,-0.2086
